"datetime","reference_datetime","duration","site_id","depth_m","family","parameter","variable","prediction","model_id","project_id"
2026-04-29,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",2.70765320010178,"fCMdepth_mp","vera4cast"
2026-04-29,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",2.72754923318932,"fCMdepth_mp","vera4cast"
2026-04-29,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",1.61411419760385,"fCMdepth_mp","vera4cast"
2026-04-29,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",2.59798287983827,"fCMdepth_mp","vera4cast"
2026-04-29,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",3.2648449313156,"fCMdepth_mp","vera4cast"
2026-04-30,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",2.96192683888268,"fCMdepth_mp","vera4cast"
2026-04-30,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",2.11566798669409,"fCMdepth_mp","vera4cast"
2026-04-30,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",3.18911742809053,"fCMdepth_mp","vera4cast"
2026-04-30,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",3.07391803055149,"fCMdepth_mp","vera4cast"
2026-04-30,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",4.13575135916753,"fCMdepth_mp","vera4cast"
2026-05-01,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",3.99382926020181,"fCMdepth_mp","vera4cast"
2026-05-01,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",5.46704265915673,"fCMdepth_mp","vera4cast"
2026-05-01,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",4.60001992719819,"fCMdepth_mp","vera4cast"
2026-05-01,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",1.97421278579273,"fCMdepth_mp","vera4cast"
2026-05-01,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",2.48806151518199,"fCMdepth_mp","vera4cast"
2026-05-02,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",3.89945862589688,"fCMdepth_mp","vera4cast"
2026-05-02,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",1.2023860422236,"fCMdepth_mp","vera4cast"
2026-05-02,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",3.6190668788707,"fCMdepth_mp","vera4cast"
2026-05-02,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",2.18943780981237,"fCMdepth_mp","vera4cast"
2026-05-02,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",5.12294183000469,"fCMdepth_mp","vera4cast"
2026-05-03,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",3.34678594102729,"fCMdepth_mp","vera4cast"
2026-05-03,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",2.56570434206849,"fCMdepth_mp","vera4cast"
2026-05-03,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",2.3109651084145,"fCMdepth_mp","vera4cast"
2026-05-03,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",3.76934483206577,"fCMdepth_mp","vera4cast"
2026-05-03,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",3.89590669958233,"fCMdepth_mp","vera4cast"
2026-05-04,2026-04-28,"P1D","fcre",NA,"ensemble",1,"ChlorophyllMaximum_depth_sample",4.007800822918,"fCMdepth_mp","vera4cast"
2026-05-04,2026-04-28,"P1D","fcre",NA,"ensemble",32,"ChlorophyllMaximum_depth_sample",2.95299759767199,"fCMdepth_mp","vera4cast"
2026-05-04,2026-04-28,"P1D","fcre",NA,"ensemble",63,"ChlorophyllMaximum_depth_sample",3.32886244917484,"fCMdepth_mp","vera4cast"
2026-05-04,2026-04-28,"P1D","fcre",NA,"ensemble",94,"ChlorophyllMaximum_depth_sample",3.13124906236518,"fCMdepth_mp","vera4cast"
2026-05-04,2026-04-28,"P1D","fcre",NA,"ensemble",125,"ChlorophyllMaximum_depth_sample",3.49205407130168,"fCMdepth_mp","vera4cast"
