"datetime","reference_datetime","duration","site_id","depth_m","family","parameter","variable","prediction","model_id","project_id"
2026-04-21,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.43,"fDCMdepth_mp","vera4cast"
2026-04-21,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-22,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.02,"fDCMdepth_mp","vera4cast"
2026-04-22,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-23,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.38,"fDCMdepth_mp","vera4cast"
2026-04-23,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-24,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.46,"fDCMdepth_mp","vera4cast"
2026-04-24,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-25,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.43,"fDCMdepth_mp","vera4cast"
2026-04-25,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-26,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.47,"fDCMdepth_mp","vera4cast"
2026-04-26,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-27,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.69,"fDCMdepth_mp","vera4cast"
2026-04-27,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-28,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.44,"fDCMdepth_mp","vera4cast"
2026-04-28,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-29,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.43,"fDCMdepth_mp","vera4cast"
2026-04-29,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-04-30,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.43,"fDCMdepth_mp","vera4cast"
2026-04-30,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-01,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.47,"fDCMdepth_mp","vera4cast"
2026-05-01,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-02,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.43,"fDCMdepth_mp","vera4cast"
2026-05-02,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-03,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.45,"fDCMdepth_mp","vera4cast"
2026-05-03,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-04,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.42,"fDCMdepth_mp","vera4cast"
2026-05-04,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-05,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.44,"fDCMdepth_mp","vera4cast"
2026-05-05,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-06,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.44,"fDCMdepth_mp","vera4cast"
2026-05-06,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-07,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.4,"fDCMdepth_mp","vera4cast"
2026-05-07,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-08,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.3,"fDCMdepth_mp","vera4cast"
2026-05-08,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-09,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.38,"fDCMdepth_mp","vera4cast"
2026-05-09,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-10,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.37,"fDCMdepth_mp","vera4cast"
2026-05-10,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-11,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.26,"fDCMdepth_mp","vera4cast"
2026-05-11,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-12,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.25,"fDCMdepth_mp","vera4cast"
2026-05-12,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-13,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.3,"fDCMdepth_mp","vera4cast"
2026-05-13,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-14,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.24,"fDCMdepth_mp","vera4cast"
2026-05-14,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-15,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.24,"fDCMdepth_mp","vera4cast"
2026-05-15,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-16,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.21,"fDCMdepth_mp","vera4cast"
2026-05-16,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-17,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.23,"fDCMdepth_mp","vera4cast"
2026-05-17,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-18,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.19,"fDCMdepth_mp","vera4cast"
2026-05-18,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-19,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.23,"fDCMdepth_mp","vera4cast"
2026-05-19,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-20,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.18,"fDCMdepth_mp","vera4cast"
2026-05-20,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-21,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.18,"fDCMdepth_mp","vera4cast"
2026-05-21,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-22,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.18,"fDCMdepth_mp","vera4cast"
2026-05-22,2026-04-20,"P1D","fcre",NA,"normal","sigma","ChlorophyllMaximum_depth_sample",1.14,"fDCMdepth_mp","vera4cast"
2026-05-23,2026-04-20,"P1D","fcre",NA,"normal","mu","ChlorophyllMaximum_depth_sample",3.14,"fDCMdepth_mp","vera4cast"
